Probability Bin,Rows,Mean Predicted Probability,Observed Win Rate
"(-0.001, 0.2]",305,0.0347994029651916,0.06229508196721312
"(0.2, 0.4]",63,0.2998445882638878,0.3968253968253968
"(0.4, 0.6]",76,0.4945820503430271,0.5526315789473685
"(0.6, 0.8]",83,0.7005296454269344,0.7831325301204819
"(0.8, 1.0]",231,0.9481891103875411,0.987012987012987
